id,domain,stage,scenario,workflow_family,primary_failure_mode,benchmark_artifact
U1,生命科学,本科,机制类概念的追问式讲解,教学,把教材外推为事实,带出处的概念图与澄清问题
U2,生命科学,本科,主动回忆测试与错题归因,教学,错因分类不稳定,题目答案错因标签
U3,生命科学,本科,单篇文献的图表与方法段拆解,文献,图文和方法条件错配,逐图证据表
U4,生命科学,本科,实验课 protocol 预演与试剂计算,实验设计,单位换算和体积约束错误,可执行计算表
U5,生命科学,本科,实验报告的结果与讨论写作,写作,把相关性写成因果性,主张-证据映射
U6,生命科学,本科, R/Python 零起点数据处理,编程,环境和数据类型错误,可重跑脚本与日志
M1,生命科学,硕士,文献规模化筛读与证据表构建,文献,去重和纳入标准漂移,筛选记录与证据表
M2,生命科学,硕士,实验设计的对照与样本量论证,实验设计,伪重复和功效假设错误,设计矩阵与功效报告
M3,生命科学,硕士,湿实验异常的排错树,实验设计,根因诊断跳步,条件化排错树
M4,生命科学,硕士,组学数据分析全流程,组学,QC/批次/统计模型不匹配,中间矩阵与最终表
M5,生命科学,硕士,论文结果段与审稿意见回复,写作,回复没有对应修改证据,回复信与变更清单
M6,生命科学,硕士,组会/开题的叙事与图设计,表达,图表选择与主张不一致,幻灯片和主张表
D1,生命科学,博士,假设生成与自我反驳,推理,只生成支持性解释,竞争假设和区分实验
D2,生命科学,博士,跨领域方法嫁接检索,文献,表面相似导致错误迁移,适用性矩阵
D3,生命科学,博士,分析流程工程化与复现,工程,依赖/参数/路径漂移,锁定环境和重跑报告
D4,生命科学,博士,AI4Sci 模型作为研究仪器,模型评估,预测被误写成实验事实,校准报告
D5,生命科学,博士,基金标书与 specific aims,写作,目标和可行性证据脱节,aim-evidence-risk 表
D6,生命科学,博士,同行评议与批判性阅读,评审,只复述不检验方法,结构化评审意见
C1,生命科学,硕博,蛋白质及复合物结构预测,结构计算,输入链/配体边界错误,结构文件和置信度审计
C2,生命科学,硕博,蛋白骨架生成与序列设计,蛋白设计,生成约束未被验证,骨架-序列-筛选记录
C3,生命科学,硕博,多肽对接与环肽结构设计,结构计算,工具适用范围混淆,候选排名与验证计划
C4,生命科学,硕博,蛋白质分子动力学与轨迹分析,模拟,参数与轨迹解释错误,RMSD/RMSF和参数报告
C5,生命科学,硕博,蛋白-小分子对接与候选重排序,结构计算,打分不可比或准备错误,对接配置和排序表
C6,生命科学,本科高年/硕博,结构叠合、局部差异与界面残基分析,结构计算,链映射和残基编号错误,对齐文件与界面清单
C7,生命科学,硕博,冷冻电镜重构与断层图像去噪,成像,数据分支和参数混用,处理日志与质量指标
C8,生命科学,本科高年/硕博,细胞分割、荧光强度与共定位定量,成像,阈值和分母选择不当,掩膜、测量表和审计图
C9,生命科学,硕博,空间转录组与组织区域分析,组学,空间单位和批次层级错误,区域定义与统计结果
C10,生命科学,硕博,单细胞转录组聚类与细胞类型注释,组学,过度依赖 marker 或伪重复,注释证据与聚合分析
C11,生命科学,硕博,bulk RNA-seq 差异表达与通路分析,组学,设计矩阵和多重检验错误,DE 表与通路证据
C12,生命科学,硕博,微阵列表达数据分析,组学,平台探针和归一化错误,平台元数据与结果表
C13,生命科学,硕博,蛋白质组/代谢组定量与差异分析,组学,缺失值和批次处理错误,峰表和统计报告
C14,生命科学,硕博,微生物组组成与功能分析,组学,组成数据和测序深度误解,多样性与差异结果
C15,生命科学,硕博,物种分布与生态位建模,生态,空间泄漏和外推过度,空间交叉验证报告
C16,生命科学,本科高年/硕博,植物表型图像与根系分割,成像,复杂背景下分割失败未被发现,掩膜与人工抽检
C17,生命科学,硕博,植物基因注释与跨物种比较,基因组,同源和注释证据混淆,注释表与同源关系
C18,生命科学,硕博,向导 RNA 候选筛选与脱靶评估,基因编辑,脱靶排序和约束漏检,候选报告与风险等级
C19,生命科学,本科高年/硕博,编辑结果与编辑比例的测序定量,基因编辑,测序类型与分析工具不匹配,编辑统计和质控
C20,生命科学,硕博,CRISPR pooled screen 数据与命中基因分析,功能组学,对照和富集模型错误,命中基因与敏感性分析
A1,通用科研,硕博,从宽泛方向生成候选题并查新,选题,新颖性结论无证据,候选题和查新证据
A2,通用科研,硕博,论文方法复现与已有研究思路实现,复现,目标结果和实现细节混淆,差异记录和重跑结果
A3,通用科研,硕博,限定预算下自动改进模型训练,优化,验证集泄漏和预算失控,运行轨迹和独立评估
A4,通用科研,硕博,计算实验矩阵、消融与资源预算,实验设计,消融不能区分机制,实验矩阵和预算表
A5,通用科研,硕博,实验计划落地、批量调度与训练排错,工程,失败后错误重试和状态覆盖,调度日志与故障报告
A6,通用科研,硕博,多次运行结果比较与结论边界判断,分析,把随机波动写成效果,统计比较和结论边界
